85377
2752	12.8
2776	11.3
2790	11.3
2802	4.0
2814	3.0
2818	10.0
2825	12.8
2838	12.8
2866	3.5
2878	3.4
2892	3.0
2899	4.7
2907	4.3
2912	4.0
2916	4.85
2924	5.4
2935	2.4
2951	4.85
2960	5.13
2974	5.4
2989	2.2
2995	5.4
3003	5.3
3007	2.2
3019	22.2
3023	15.7
3036	4.0
3049	12.8
3061	3.4
3069	28.0
3078	8.0
3096	4.6
3101	2.4
3115	9.5
3131	4.2
3139	4.0
3156	4.0
3172	11.1
3177	23.0
3184	23.0
3191	23.0
3197	23.0
3203	1.6
3216	23.0
3239	23.0
3259	4.7
3263	52.5
3268	52.5
3273	11.1
3281	4.9
3292	4.77
3303	5.4
3316	1.6
3329	4.0
3342	11.0
3347	11.0
3352	2.25
3358	4.0
3364	11.0
3373	11.0
3382	2.25
3393	2.25
3411	4.82
3427	6.2
3443	15.7
3454	3.4
3463	13.2
3472	7.0
3477	29.6
3482	3.4
3486	29.6
3514	5.1
3519	7.0
3529	7.0
3540	3.9
3549	4.51
3556	4.0
3562	4.51
3569	11.5
3573	4.51
3593	1.66
3601	10.0
3610	1.1
3622	3.5
3632	4.2
3641	3.32
3648	3.32
3654	4.2
3665	7.58
3687	5.4
3696	3.32
3719	3.1
3728	26.0
3733	4.3
3745	4.8
3757	3.1
3767	4.85
3780	12.5
3784	12.5
3788	12.5
3792	12.5
3796	12.5
3800	12.5
3804	12.5
3808	12.5
3812	3.5
3827	3.5
3837	4.885
3844	4.885
3849	2.25
3862	3.8
3877	1.66
3883	2.54
3889	2.54
3895	4.885
3906	4.885
3917	2.54
3936	5.9
3949	1.66
3960	2.54
3975	2.54
3990	2.54
3997	16.7
4006	2.1
4022	2.1
4037	46.0
4060	14.4
4072	12.5
4076	12.5
4080	12.5
4084	12.5
4088	20.0
4095	4.7
4107	3.8
4112	3.6
4117	5.8
4132	2.1
4137	3.6
4141	3.3
4149	4.75
4157	4.0
4171	10.0
4176	3.6
4182	3.6
4187	3.8
4192	3.6
4198	5.5
4205	3.8
4218	10.0
4226	3.8
4236	1.66
4253	46.0
4267	2.45
4275	4.8
4285	4.8
4294	2.38
4304	4.6
4319	4.3
4329	7.9
4342	3.5
4353	7.2
4358	4.1
